date,RV_GK
2020-03-13,0.003692607691126425
2020-03-18,0.0035581389321797047
2020-03-16,0.0031172969730578117
2015-08-24,0.0031110537844787644
2025-04-07,0.003031800675744208
2020-03-17,0.002626542685384319
2020-04-06,0.002395600542568859
2020-03-12,0.0023473676923758194
2020-03-25,0.0022173866515674072
2020-03-19,0.0019890182844029686
2025-04-08,0.0015369737154276434
2020-04-01,0.00148485749666838
2020-03-10,0.0013619010032464899
2025-04-09,0.0013618428758525045
2020-03-23,0.0010920237941380979
2020-03-03,0.0010604837270526064
2025-04-10,0.000995957775956154
2020-03-20,0.0009699909517820599
2020-12-21,0.0009609073085955542
2022-01-24,0.0009145637783240805
